id,heading,content_summary,article_link,img_link,month_date,time,Year
100, Uttarakhand: Man 39 held for killing constable wife in Haldwani , Nainital district police on Monday arrested a man from Kichha in US Nagar for murdering a police constable’s wife in Haldwani on November 3 ,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-man-39-held-for-killing-constables-wife-in-haldwani/articleshow/95370204.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95370204width-300resizemode-4/95370204jpg,08-Nov,09:55,2022
101, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/nashik/nashik-city-another-theft-from-parked-car-seventh-case-in-4-days/articleshow/95368457.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
102, Uttarakhand: Man 39 held for killing constable wife in Haldwani , Nainital district police on Monday arrested a man from Kichha in US Nagar for murdering a police constable’s wife in Haldwani on November 3 ,https://timesofindia.indiatimes.com/city/pune/pune-externed-criminal-jumps-from-bus-fearing-cops-car-runs-over-him/articleshow/95366308.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95370204width-300resizemode-4/95370204jpg,08-Nov,09:55,2022
103, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/patna/gaya-woman-burned-alive-on-suspicion-of-witchcraft/articleshow/95328044.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
104, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/pune/man-held-on-charge-of-stalking/articleshow/95266582.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
105, Pune: Externed criminal jumps from bus fearing cops car runs over him , An externed criminal died in the early hours of Sunday as he jumped from a rear window of a stationary private luxury bus and landed in front of a car fearing arrest after police came to resolve a dispute between the passengers and the bus staffers at Shivdarshan Chowk on the Pune-Solapur highway ,https://timesofindia.indiatimes.com/city/pune/victims-of-two-street-robberies-team-up-chase-nab-criminal/articleshow/95266517.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95366308width-300resizemode-4/95366308jpg,08-Nov,05:17,2022
106, Gaya woman burned alive on suspicion of witchcraft , A middle-aged woman was badly thrashed and burned alive in her house at village Panchmah under Maigra police station area in Gaya district on Saturday afternoon for allegedly practising witchcraft ,https://timesofindia.indiatimes.com/city/pune/pune-three-rob-injured-man-of-cash-goods-worth-rs-56000/articleshow/95264348.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95328044width-300resizemode-4/95328044jpg,06-Nov,05:24,2022
107, Man held on charge of stalking in Pune , A man (33) was arrested on Tuesday from Khed taluka on the charge of stalking a 28-year-old woman from his neighbouring village for the past two years and damaging her two vehiclesThe woman on Tuesday filed a complaint ,https://timesofindia.indiatimes.com/city/lucknow/up-gang-had-spent-rs-1-crore-in-executing-heist/articleshow/95241249.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95266582width-300resizemode-4/95266582jpg,03-Nov,08:32,2022
108, Pune: Victims of two street robberies team up chase & nab criminal , Two victims of armed assault and back-to-back midnight street robberies by a bike-borne duo chased and managed to apprehend the pillion rider a criminal on police record in the Kondhwa area before handing him over to the police Around 12 ,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-four-year-old-raped-abandoned-in-khandwa-found-14-hours-later/articleshow/95227532.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95266517width-300resizemode-4/95266517jpg,03-Nov,08:30,2022
109,"Madhya Pradesh: Four-year-old raped, abandoned in Khandwa, found 14 hours later ",A four-year-old girl was abducted from a hut and raped by a man in Jaswadi village of Khandwa district in the early hours of Monday. The 38-year-old accused strangled her and threw her in bushes. She was rescued after the police arrested the accused and extracted a confession out of him on Monday night -- 14 hours after she was left to die. Police suspect the involvement of another man in the crime. ,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-four-year-old-raped-abandoned-in-khandwa-found-14-hours-later/articleshow/95227532.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95227532,width-300,resizemode-4/95227532.jpg",01-11-2001,14:44:00,2022
110, Man chops off wife’s fingers in Kerala amid quarrel ," A man cut off three fingers from his wife’s right hand in a fit of rage amid a domestic quarrel in Kanakkary near Ettumanoor at 8. 30am on Friday. Manju sustained injuries on her nose, lips, left cheek, ear and the back of her neck after her husband Pradeep Kumar attacked her. Her left hand was also fractured in the attack. ",https://timesofindia.indiatimes.com/city/kochi/man-chops-off-wifes-fingers-in-kerala-amid-quarrel/articleshow/94872678.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94872678,width-300,resizemode-4/94872678.jpg",Oct-15,09:11,2022
111," Karnataka: Two years on, man held for killing, burying teen wife "," A 31-year-old labourer who was on the run after allegedly killing his wife, a minor, in 2020 was recently arrested in Madhugiri taluk of Tumakuru district. ",https://timesofindia.indiatimes.com/city/bengaluru/karnataka-two-years-on-man-held-for-killing-burying-teen-wife/articleshow/95195863.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95195863,width-300,resizemode-4/95195863.jpg",Oct-31,11:53,2022
